Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -19494.103mil -11268.465mil       5482mil       4168mil -19494.103mil -11268.465mil  T          0.00 Comment        
Designator TARGET_MECHANICAL_5 -19494.103mil -11268.465mil       -994mil       4176mil -19494.103mil -11268.465mil  T          0.00 Comment        
Designator TARGET_MECHANICAL_5 -19494.103mil -11268.465mil       -837mil      -1341mil -19494.103mil -11268.465mil  T          0.00 Comment        
U20        SMD_TSSOP16_RU16    735.158mil   3050.433mil        620mil       3140mil        620mil       3140mil  T          0.00 74HC123        
TP30       SMD_TEST_POINT       580.5mil   2332.638mil      580.5mil   2332.638mil      580.5mil   2332.638mil  T         90.00 Test Point SMD 
TP31       SMD_TEST_POINT       540.5mil    850.638mil      540.5mil    850.638mil      540.5mil    850.638mil  T         90.00 Test Point SMD 
TP32       SMD_TEST_POINT         802mil       2066mil        802mil       2066mil        802mil       2066mil  T         90.00 Test Point SMD 
TP33       SMD_TEST_POINT         812mil       2306mil        812mil       2306mil        812mil       2306mil  T         90.00 Test Point SMD 
TP34       SMD_TEST_POINT        1877mil       1491mil       1877mil       1491mil       1877mil       1491mil  T         90.00 Test Point SMD 
TP35       SMD_TEST_POINT         802mil       1806mil        802mil       1806mil        802mil       1806mil  T         90.00 Test Point SMD 
TP36       SMD_TEST_POINT        2770mil       2098mil       2770mil       2098mil       2770mil       2098mil  T         90.00 Test Point SMD 
TP37       SMD_TEST_POINT        2770mil       1868mil       2770mil       1868mil       2770mil       1868mil  T         90.00 Test Point SMD 
TP38       SMD_TEST_POINT        1200mil        510mil       1200mil        510mil       1200mil        510mil  T         90.00 Test Point SMD 
TP39       SMD_TEST_POINT        1200mil        310mil       1200mil        310mil       1200mil        310mil  T         90.00 Test Point SMD 
TP40       SMD_TEST_POINT        3521mil       2120mil       3521mil       2120mil       3521mil       2120mil  T         90.00 Test Point SMD 
TP41       SMD_TEST_POINT        4275mil       2506mil       4275mil       2506mil       4275mil       2506mil  T        180.00 Test Point SMD 
TP42       SMD_TEST_POINT        3510mil       2441mil       3510mil       2441mil       3510mil       2441mil  T         90.00 Test Point SMD 
TP43       SMD_TEST_POINT        4321mil       2858mil       4321mil       2858mil       4321mil       2858mil  T        270.00 Test Point SMD 
U2         QFN-28_(CP2102)       3913mil       1629mil       3913mil       1629mil   3814.575mil   1688.055mil  T          0.00 CP2102         
U3         CM-BF5xx              2956mil        907mil       2956mil        907mil   2704.031mil    1249.52mil  T          0.00 CM-BF537E      
U4         TO220-7             4100.5mil       2258mil       4024mil       2108mil       4024mil       2108mil  T         90.00 TLE5206-2      
U5         TQFN-6                1488mil       3556mil       1488mil       3556mil   1425.008mil   3593.401mil  T          0.00 MAX16820       
U6         TQFN-6                2016mil       3574mil       2016mil       3574mil   1953.008mil   3611.401mil  T          0.00 MAX16820       
U7         TSSOP14               2404mil       2645mil       2404mil       2645mil   2294.748mil   2721.771mil  T        270.00 MAX1169        
U8         TQFN-6             974.758mil   3572.758mil    974.758mil   3572.758mil    911.766mil    3610.16mil  T          0.00 MAX16820       
U10        SOT223                3776mil       3453mil       3776mil       3453mil   3685.449mil   3330.953mil  T        360.00 ADP3338AKCZ-3.3RL7
U13        TQFP144_M             1574mil       2149mil       1574mil       2149mil   1918.488mil   2566.323mil  T        270.00 MC55110-CP     
U14        SMT_5X3.2mm           2283mil       1993mil       2238mil       1943mil       2328mil       1943mil  T         90.00 Oscillator     
U16        SO-16                  910mil        390mil        910mil        390mil    773.189mil        565mil  T        270.00 PS2801-4       
U12        182H_N            1441.433mil   3063.976mil   1441.433mil   3063.976mil   1346.945mil   3138.976mil  T        360.00 REF02AU        
U9         S8_N              1891.433mil   3063.976mil   1891.433mil   3063.976mil   1796.945mil   3138.976mil  T        360.00 LT1124CS8      
U1         VQ100_N               1409mil       1200mil       1409mil       1200mil   1111.756mil    1436.22mil  T          0.00 XCR3128XL-10VQ100C
C65        SMD_0805              2597mil       2706mil       2597mil       2706mil       2597mil       2661mil  T         90.00 Cap            

