Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      23798mil       9077mil   -979.102mil  -1607.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      23798mil      13940mil   -979.102mil  -1607.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      17911mil      13932mil   -979.102mil  -1607.465mil  T         90.00 Comment        
C30        SMD_0805             22261mil      12484mil      22261mil      12484mil      22306mil      12484mil  T        180.00 Cap SMD        
C29        SMD_CAP_3216         22261mil      12564mil      22261mil      12564mil      22206mil      12564mil  T        180.00 16V            
C28        SMD_0805             22261mil      12744mil      22261mil      12744mil      22306mil      12744mil  T        180.00 Cap SMD        
C27        SMD_CAP_3216         22281mil      12834mil      22281mil      12834mil      22226mil      12834mil  T        180.00 16V            
C26        SMD_0805             22261mil      12674mil      22261mil      12674mil      22306mil      12674mil  T        180.00 Cap SMD        
C25        SMD_0805             21441mil      12654mil      21441mil      12654mil      21441mil      12609mil  T         90.00 Cap SMD        
C24        3225[1210]           21011mil      12814mil      21011mil      12814mil  21066.118mil      12814mil  T        180.00 50V            
C18        smd_0805             19263mil      13193mil      19263mil      13193mil      19263mil      13238mil  T        270.00 1u             
C13        smd_0805             20320mil      13179mil      20320mil      13179mil      20320mil      13224mil  T        270.00 1u             
C12        smd_0805             19773mil      13195mil      19773mil      13195mil      19773mil      13240mil  T        270.00 1u             
C10        SMD_0805             21613mil      10462mil      21613mil      10462mil      21613mil      10417mil  B         90.00 Cap            
C9         SMD_0805             22645mil      11370mil      22645mil      11370mil      22690mil      11370mil  B        180.00 Cap            
C8         SMD_0805             22645mil      11309mil      22645mil      11309mil      22690mil      11309mil  B        180.00 Cap            
C7         SMD_0805             22479mil      10391mil      22479mil      10391mil      22479mil      10436mil  B        270.00 Cap            
C6         SMD_0805             22271mil      11265mil      22271mil      11265mil      22271mil      11310mil  B        270.00 Cap            
C5         SMD_0805             22247mil      11265mil      22247mil      11265mil      22247mil      11310mil  T        270.00 Cap            
C4         SMD_0805             21433mil      10653mil      21433mil      10653mil      21433mil      10608mil  B         90.00 Cap            
C3         SMD_0805             21060mil      10654mil      21060mil      10654mil      21060mil      10609mil  B         90.00 Cap            
C2         SMD_0805             21368mil      10653mil      21368mil      10653mil      21368mil      10608mil  B         90.00 Cap            
C1         SMD_0805             21127mil      10653mil      21127mil      10653mil      21127mil      10608mil  B         90.00 Cap            
R10        SMD_0805         19367.758mil  13249.758mil  19367.758mil  13249.758mil  19367.758mil  13294.758mil  B        270.00 Res 0805       
R9         SMD_0805             20409mil      13237mil      20409mil      13237mil      20409mil      13282mil  B        270.00 Res 0805       
R8         SMD_0805             19888mil      13212mil      19888mil      13212mil      19888mil      13257mil  B        270.00 Res 0805       
Q6         SOT-23B              19491mil      12421mil      19491mil      12421mil  19528.402mil  12371.787mil  B        180.00 ZXMN3B14FTA    
Q5         SOT-23B              19513mil      12828mil      19513mil      12828mil  19475.598mil  12877.213mil  B        360.00 ZXMN3B14FTA    
L3         SMD_1210_INDUCT  19481.758mil  13113.758mil  19481.758mil  13113.758mil  19481.758mil  13048.758mil  B         90.00 Inductor       
L2         SMD_1210_INDUCT      20529mil      13110mil      20529mil      13110mil      20529mil      13175mil  B        270.00 Inductor       
L1         SMD_1210_INDUCT      19999mil      13096mil      19999mil      13096mil      19999mil      13161mil  B        270.00 Inductor       
D5         SMC                  19660mil      13221mil      19660mil      13221mil      19660mil  13084.189mil  B         90.00 SL43-E3/57T    
D4         SMC                  20706mil      13220mil      20706mil      13220mil      20706mil  13083.189mil  B         90.00 SL43-E3/57T    
D3         SMC                  20175mil      13198mil      20175mil      13198mil      20175mil  13061.189mil  B         90.00 SL43-E3/57T    
C55        SMD_0805             19611mil      12419mil      19611mil      12419mil      19611mil      12464mil  B        270.00 Cap SMD        
C54        SMD_0805             19609mil      12827mil      19609mil      12827mil      19609mil      12782mil  B         90.00 Cap SMD        
C23        SMD_0805             19198mil      12239mil      19198mil      12239mil      19198mil      12194mil  B         90.00 Cap SMD        
C22        smd_0805         19495.758mil  13339.758mil  19495.758mil  13339.758mil  19450.758mil  13339.758mil  B        360.00 1u             
C21        SMD_0805             19199mil      12388mil      19199mil      12388mil      19199mil      12343mil  B         90.00 Cap            
C20        SMD_0805         21028.252mil  12254.818mil  21028.252mil  12254.818mil  21028.252mil  12209.818mil  B         90.00 Cap            
C19        SMD_0805         20809.748mil  12254.818mil  20809.748mil  12254.818mil  20809.748mil  12209.818mil  B         90.00 Cap            
C17        smd_0805             20886mil      12308mil      20886mil      12308mil      20886mil      12353mil  B        270.00 Cap            
C16        SMD_0805             20951mil      12310mil      20951mil      12310mil      20951mil      12355mil  B        270.00 Cap            
C15        smd_0805             20529mil      13355mil      20529mil      13355mil      20484mil      13355mil  B        360.00 1u             
C14        smd_0805             20008mil      13344mil      20008mil      13344mil      19963mil      13344mil  B        360.00 1u             
C11        SMD_Pana_size_H13      22029mil      11944mil      22029mil      12144mil      22029mil      12184mil  B          0.00 35V            
Q4         SOT223_w/PowerPAD  20406.433mil   12752.85mil  20406.433mil  12744.976mil  20496.984mil  12622.929mil  B        180.00 NJT4031N       
P5         Phoenix_M12,_4-Pos  18800.433mil  10164.638mil      18515mil  10164.638mil  18928.386mil  10066.213mil  B         90.00 CONN, 4 PIN, Round
P3         Phoenix_M12,_4-Pos  18800.433mil      11771mil      18515mil      11771mil  18928.386mil  11672.575mil  B         90.00 CONN, 4 PIN, Round
C53        SMD_0805             20349mil      11720mil      20349mil      11720mil      20304mil      11720mil  B        360.00 Cap SMD        
C52        SMD_0805             20379mil      12050mil      20379mil      12050mil      20379mil      12005mil  B         90.00 Cap SMD        
C51        SMD_0805             20349mil      11600mil      20349mil      11600mil      20304mil      11600mil  B        360.00 Cap SMD        
C50        SMD_0805             20349mil      11860mil      20349mil      11860mil      20304mil      11860mil  B        360.00 Cap SMD        
C49        SMD_0805             20219mil      12070mil      20219mil      12070mil      20219mil      12025mil  B         90.00 Cap SMD        
C48        SMD_0805             19799mil      12080mil      19799mil      12080mil      19799mil      12125mil  B        270.00 Cap SMD        
C47        SMD_0805             19879mil      12070mil      19879mil      12070mil      19879mil      12025mil  B         90.00 Cap SMD        
C46        SMD_0805             19819mil      11900mil      19819mil      11900mil      19864mil      11900mil  B        180.00 Cap SMD        
C45        SMD_0805             19789mil      11620mil      19789mil      11620mil      19789mil      11665mil  B        270.00 Cap SMD        
C44        SMD_0805             19869mil      11500mil      19869mil      11500mil      19914mil      11500mil  B        180.00 Cap SMD        
C43        SMD_0805             19999mil      11560mil      19999mil      11560mil      19999mil      11605mil  B        270.00 Cap SMD        
C42        SMD_CAP_3216         20129mil      12020mil      20129mil      12020mil      20129mil      12075mil  B         90.00 16V            
C41        SMD_0805             20179mil      11540mil      20179mil      11540mil      20179mil      11585mil  B        270.00 Cap SMD        
C36        SMD_CAP_3216     20126.433mil  12584.976mil  20126.433mil  12584.976mil  20181.433mil  12584.976mil  B        360.00 16V            
C34        SMD_0805         20186.433mil  12704.976mil  20186.433mil  12704.976mil  20231.433mil  12704.976mil  B        180.00 Cap SMD        
U11        PSIP_3_SMD         22173.5mil      12847mil      22186mil      12847mil      21611mil      12947mil  B         90.00 PT78ST105S     
FER3       ACM1513-551-2PL      21151mil      12854mil      21151mil      12854mil      21279mil      12574mil  B         90.00 ACM1513-551-2PL-TL
U15        SO-16            21516.417mil      11654mil  21516.417mil      11654mil  21653.228mil      11829mil  B        270.00 PS2811-4       
C62        SMD_0805             19739mil      11013mil      19739mil      11013mil      19739mil      10968mil  B         90.00 Cap SMD        
C61        SMD_0805             19729mil      10808mil      19729mil      10808mil      19729mil      10853mil  B        270.00 Cap SMD        
C60        SMD_0805             20123mil      10703mil      20123mil      10703mil      20123mil      10748mil  B        270.00 Cap SMD        
C59        SMD_0805             20070mil      10920mil      20070mil      10920mil      20025mil      10920mil  B        360.00 Cap SMD        
C58        SMD_0805             19997mil      11067mil      19997mil      11067mil      19952mil      11067mil  B        360.00 Cap SMD        
C57        SMD_0805             19867mil      11022mil      19867mil      11022mil      19867mil      10977mil  B         90.00 Cap SMD        
C56        SMD_0805             19852mil      10712mil      19852mil      10712mil      19852mil      10757mil  B        270.00 Cap SMD        
H1         Heat_Sink_TO-220      22352mil      11918mil      22352mil      11513mil      22352mil      12323mil  T         90.00 Comment        

