Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       6218mil       5401mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -761mil       5318mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -778mil      -1854mil  -9866.142mil -10306.299mil  T        360.00 Comment        
SW1        SMD_DIP_GULL_WING_16PIN   3120.464mil    3933.37mil   3470.464mil    3763.87mil   3470.464mil    3763.87mil  B         90.00 SW-SPST-8POS   
C24D       SMD_CAP_3216      5231.284mil   3246.055mil   5231.283mil   3246.055mil   5286.284mil   3246.055mil  B        360.00 Cap Pol        
C25A       SMD_0805          2111.362mil   3166.055mil   2111.362mil   3166.055mil   2066.362mil   3166.055mil  B        360.00 Cap            
C25D       SMD_0805          5241.284mil   3166.055mil   5241.283mil   3166.055mil   5196.284mil   3166.055mil  B        360.00 Cap            
C26A       SMD_0805          2553.362mil   2533.055mil   2553.362mil   2533.055mil   2553.362mil   2578.055mil  B        270.00 Cap            
C26D       SMD_0805          5683.284mil   2533.055mil   5683.283mil   2533.055mil   5683.284mil   2578.055mil  B        270.00 Cap            
C28A       SMD_0805          2443.362mil   2623.055mil   2443.362mil   2623.055mil   2443.362mil   2578.055mil  B         90.00 Cap            
C28D       SMD_0805          5573.284mil   2623.055mil   5573.283mil   2623.055mil   5573.284mil   2578.055mil  B         90.00 Cap            
C29A       SMD_0805          2111.362mil   3526.055mil   2111.362mil   3526.055mil   2066.362mil   3526.055mil  B        360.00 Cap            
C29D       SMD_0805          5241.284mil   3526.055mil   5241.283mil   3526.055mil   5196.284mil   3526.055mil  B        360.00 Cap            
C30A       SMD_CAP_3216      2101.362mil   3416.055mil   2101.362mil   3416.055mil   2156.362mil   3416.055mil  B        360.00 Cap Pol        
C30D       SMD_CAP_3216      5231.284mil   3416.055mil   5231.283mil   3416.055mil   5286.284mil   3416.055mil  B        360.00 Cap Pol        
C31A       SMD_CAP_3216      2553.362mil   2733.055mil   2553.362mil   2733.055mil   2553.362mil   2788.055mil  B         90.00 Cap Pol        
C31D       SMD_CAP_3216      5683.284mil   2733.055mil   5683.283mil   2733.055mil   5683.284mil   2788.055mil  B         90.00 Cap Pol        
C48A       SMD_CAP_3216      2271.362mil   3056.055mil   2271.362mil   3056.055mil   2271.362mil   3111.055mil  B         90.00 Cap Pol        
C48D       SMD_CAP_3216      5401.284mil   3056.055mil   5401.283mil   3056.055mil   5401.284mil   3111.055mil  B         90.00 Cap Pol        
L1D        SMD_1210_INDUCT   5361.284mil   1324.055mil   5361.283mil   1324.055mil   5426.284mil   1324.055mil  B        180.00 Inductor       
L2D        SMD_1210_INDUCT   5341.284mil   1694.055mil   5341.283mil   1694.055mil   5276.284mil   1694.055mil  B        360.00 Inductor       
L3A        SMD_1210_INDUCT   2329.362mil   2698.055mil   2329.362mil   2698.055mil   2329.362mil   2763.055mil  B        270.00 Inductor       
L3D        SMD_1210_INDUCT   5459.284mil   2698.055mil   5459.283mil   2698.055mil   5459.284mil   2763.055mil  B        270.00 Inductor       
L4A        SMD_1210_INDUCT   2443.362mil   2443.055mil   2443.362mil   2443.055mil   2443.362mil   2378.055mil  B         90.00 Inductor       
L4D        SMD_1210_INDUCT   5573.284mil   2443.055mil   5573.283mil   2443.055mil   5573.284mil   2378.055mil  B         90.00 Inductor       
C27        SMD_0805            183.15mil   3659.253mil     183.15mil   3659.252mil     183.15mil   3614.253mil  B         90.00 Cap SMD        
C32        SMD_CAP_3216       181.001mil       3790mil        181mil       3790mil    236.001mil       3790mil  B        360.00 15V            
C33        SMD_0805               305mil   1848.001mil        305mil       1848mil        305mil   1803.001mil  B         90.00 Cap SMD        
C34        SMD_0805          1166.001mil       3336mil       1166mil       3336mil   1121.001mil       3336mil  B        360.00 Cap SMD        
C37        SMD_0805           636.999mil   3334.999mil        637mil       3335mil    681.999mil   3334.999mil  B        180.00 Cap SMD        
C38        SMD_0805           637.999mil   3021.999mil        638mil       3022mil    682.999mil   3021.999mil  B        180.00 Cap SMD        
C39        SMD_0805           759.999mil   3458.999mil        760mil       3459mil    804.999mil   3458.999mil  B        180.00 Cap SMD        
C40        SMD_0805           637.999mil       3139mil        638mil       3139mil    682.999mil       3139mil  B        180.00 Cap SMD        
C41        SMD_0805               911mil   3417.001mil        911mil       3417mil        911mil   3372.001mil  B         90.00 Cap SMD        
C42        SMD_0805           931.001mil   2876.999mil        931mil       2877mil    931.001mil   2921.999mil  B        270.00 Cap SMD        
C43        SMD_0805          1172.001mil   3140.001mil       1172mil       3140mil   1127.001mil   3140.001mil  B        360.00 Cap SMD        
C44        SMD_CAP_3216      1148.001mil   3234.001mil       1148mil       3234mil   1203.001mil   3234.001mil  B        360.00 15V            
C45        SMD_CAP_3216       654.999mil   3246.999mil        655mil       3247mil    599.999mil   3246.999mil  B        180.00 15V            
C47        SMD_0805               734mil   2877.999mil        734mil       2878mil        734mil   2922.999mil  B        270.00 Cap SMD        
C50        SMD_0805          1174.001mil       2982mil       1174mil       2982mil   1129.001mil       2982mil  B        360.00 Cap SMD        
C51        SMD_0805              1088mil   2875.999mil       1088mil       2876mil       1088mil   2920.999mil  B        270.00 Cap SMD        
C52        SMD_0805          1153.999mil   3457.999mil       1154mil       3458mil   1198.999mil   3457.999mil  B        180.00 Cap SMD        
C53        SMD_CAP_3216          3886mil    896.999mil       3886mil        897mil       3886mil    841.999mil  B        270.00 15V            
L5         SMD_1206               906mil   3189.001mil        906mil       3189mil        906mil   3134.001mil  B         90.00 600R           
D6         SMD_0805_LED      5492.126mil    3986.22mil   5492.126mil    3986.22mil   5492.126mil    4031.22mil  T        270.00 LED SMD        
D5         SMD_0805_LED      4990.158mil    3986.22mil   4990.158mil    3986.22mil   4990.158mil    4031.22mil  T        270.00 LED SMD        
D4         SMD_0805_LED      4537.402mil    3986.22mil   4537.402mil    3986.22mil   4537.402mil    4031.22mil  T        270.00 LED SMD        
D3         SMD_0805_LED      4124.016mil   4064.961mil   4124.016mil   4064.961mil   4124.016mil   4109.961mil  T        270.00 LED SMD        
D2         SMD_0805_LED      5246.063mil    3986.22mil   5246.063mil    3986.22mil   5246.063mil    3941.22mil  T         90.00 LED SMD        
D1         SMD_0805_LED      4753.937mil    3986.22mil   4753.937mil    3986.22mil   4753.937mil    3941.22mil  T         90.00 LED SMD        
RN1        RES_ARRAY_0603_x_4    492.323mil   1952.756mil        450mil       2000mil    453.937mil       2000mil  T        270.00 RES ARRAY  x4  
U6B        TQFP48_m          3369.339mil   3326.323mil   3369.339mil   3326.323mil    3261.07mil   3164.905mil  T         90.00 0.2 ppm        
J5         QMS_EDGE_PWR_PINS   3346.457mil    448.819mil   3346.457mil    393.701mil   4498.907mil    462.849mil  T         90.00                
C1A        SMD_0805          2439.094mil   2070.323mil   2439.095mil   2070.323mil   2439.094mil   2025.323mil  T         90.00 Cap SMD        
C1B        SMD_0805          3486.338mil   2070.323mil   3486.339mil   2070.323mil   3486.338mil   2025.323mil  T         90.00 Cap SMD        
C1C        SMD_0805           4537.52mil   2070.323mil    4537.52mil   2070.323mil    4537.52mil   2025.323mil  T         90.00 Cap SMD        
C1D        SMD_0805          5569.016mil   2070.323mil   5569.016mil   2070.323mil   5569.016mil   2025.323mil  T         90.00 Cap SMD        
