Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           fid                    300mil        900mil        300mil        900mil        300mil        900mil  T        360.00                
           fid                   5700mil        140mil       5700mil        140mil       5700mil        140mil  T        360.00                
           fid                    300mil       4100mil        300mil       4100mil        300mil       4100mil  T        360.00                
R41        0603              4019.992mil     1517.5mil       4020mil       1545mil   4019.992mil       1545mil  T        270.00 1K10           
R42        0603              3930.008mil     1522.5mil       3930mil       1495mil   3930.008mil       1495mil  T         90.00 1K02           
R43        0603              2995.008mil     2242.5mil       2995mil       2215mil   2995.008mil       2215mil  T         90.00 22R            
R44        0805                  1085mil       2280mil       1130mil       2280mil       1130mil       2280mil  T        180.00 1K0            
R45        0805                  1045mil       2740mil       1000mil       2740mil       1000mil       2740mil  T        360.00 150R           
R46        0805                   810mil       2735mil        855mil       2735mil        855mil       2735mil  T        180.00 1k0            
R47        0805                   835mil       2270mil        880mil       2270mil        880mil       2270mil  T        180.00 150R           
R48        0805                  1850mil       1690mil       1895mil       1690mil       1895mil       1690mil  T        180.00 1K             
R49        0805                  1365mil       1690mil       1320mil       1690mil       1320mil       1690mil  T        360.00 1K             
R50        0805                  1285mil       1200mil       1240mil       1200mil       1240mil       1200mil  T        360.00 3K0            
R51        0805                  1490mil       1200mil       1445mil       1200mil       1445mil       1200mil  T        360.00 3K0            
R52        0805                  1385mil       1090mil       1430mil       1090mil       1430mil       1090mil  T        180.00 121R           
R53        0805                  1745mil       1200mil       1700mil       1200mil       1700mil       1200mil  T        360.00 3K0            
R54        0805                  1955mil       1200mil       1910mil       1200mil       1910mil       1200mil  T        360.00 3K0            
R55        0805                  1855mil       1090mil       1900mil       1090mil       1900mil       1090mil  T        180.00 121R           
R56        0603              5104.992mil     1502.5mil       5105mil       1530mil   5104.992mil       1530mil  T        270.00 1K5            
R57        0603              4244.992mil     2142.5mil       4245mil       2170mil   4244.992mil       2170mil  T        270.00 1K5            
R58        0603              4244.992mil     2022.5mil       4245mil       2050mil   4244.992mil       2050mil  T        270.00 1K5            
RN3        EXB-38Vn          4926.004mil   3237.244mil       4960mil       3190mil   4960.008mil       3190mil  T         90.00 1K             
RN4        EXB-38Vn          5361.004mil   3302.244mil       5395mil       3255mil   5395.008mil       3255mil  T         90.00 10K            
RN5        EXB-38Vn          5418.996mil   1797.756mil       5385mil       1845mil   5384.992mil       1845mil  T        270.00 1K             
U29        S-PQFP-G100       4703.779mil   2167.756mil       4940mil       2465mil       4940mil       2465mil  T        360.00 MSP430F5438    
L6         MSS7341             4920.5mil        765mil       4830mil        765mil       4830mil        765mil  T         90.00 MSS7341-332NL  
TP1        CON1                  4750mil       4150mil       4750mil       4150mil       4750mil       4150mil  T          0.00 CON1           
TP2        CON1                  1250mil       2380mil       1250mil       2380mil       1250mil       2380mil  T          0.00 CON1           
TP3        CON1                  3720mil       2645mil       3720mil       2645mil       3720mil       2645mil  T          0.00 Test point     
RN1        EXB-38VN          2256.004mil   1872.244mil       2290mil       1825mil   2290.008mil       1825mil  T         90.00 10K            
RN2        EXB-38VN          2256.004mil   1707.244mil       2290mil       1660mil   2290.008mil       1660mil  T         90.00 1K             
C122       0603                3227.5mil   1434.992mil       3255mil       1435mil       3255mil   1434.992mil  B        180.00 0.1uF          
C123       0603              2845.008mil     1837.5mil       2845mil       1865mil   2845.008mil       1865mil  B        270.00 0.1uF          
C124       0603              2925.008mil     1947.5mil       2925mil       1975mil   2925.008mil       1975mil  B        270.00 0.1uF          
