Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       -624mil      -1091mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       7364mil       8065mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil      -1340mil       8148mil -27864.189mil -16698.189mil  T          0.00 Comment        
U1         SuperFin_Footprint   2891.472mil   3340.677mil   3881.827mil    2600.52mil   3366.866mil   2583.197mil  T         90.00 SuperFin Module
D37        LED_SMD_0402      4512.047mil   6715.811mil   4512.047mil   6715.811mil   4512.047mil   6733.528mil  T        270.00 LED SMD 0402   
D36        LED_SMD_0402      4413.047mil   7065.528mil   4413.047mil   7065.528mil   4413.047mil   7047.811mil  T         90.00 LED SMD 0402   
D35        LED_SMD_0402      4213.047mil   7067.811mil   4213.047mil   7067.811mil   4213.047mil   7050.095mil  T         90.00 LED SMD 0402   
D34        LED_SMD_0402      4013.047mil   7067.811mil   4013.047mil   7067.811mil   4013.047mil   7050.095mil  T         90.00 LED SMD 0402   
D33        LED_SMD_0402      3813.047mil   7067.811mil   3813.047mil   7067.811mil   3813.047mil   7050.095mil  T         90.00 LED SMD 0402   
D32        LED_SMD_0402      3613.047mil   7067.811mil   3613.047mil   7067.811mil   3613.047mil   7050.095mil  T         90.00 LED SMD 0402   
D31        LED_SMD_0402      3528.764mil   6669.811mil   3528.764mil   6669.811mil   3511.047mil   6669.811mil  T        360.00 LED SMD 0402   
D30        LED_SMD_0402      3413.047mil   7067.811mil   3413.047mil   7067.811mil   3413.047mil   7050.095mil  T         90.00 LED SMD 0402   
D29        LED_SMD_0402      3428.764mil   6669.811mil   3428.764mil   6669.811mil   3411.047mil   6669.811mil  T        360.00 LED SMD 0402   
D28        LED_SMD_0402      3528.764mil   6709.811mil   3528.764mil   6709.811mil    3546.48mil   6709.811mil  T        180.00 LED SMD 0402   
D27        LED_SMD_0402      3328.764mil   6669.811mil   3328.764mil   6669.811mil   3311.047mil   6669.811mil  T        360.00 LED SMD 0402   
D26        LED_SMD_0402      3428.764mil   6709.811mil   3428.764mil   6709.811mil    3446.48mil   6709.811mil  T        180.00 LED SMD 0402   
D25        LED_SMD_0402      3211.047mil   7067.811mil   3211.047mil   7067.811mil   3211.047mil   7050.095mil  T         90.00 LED SMD 0402   
D24        LED_SMD_0402      3228.764mil   6669.811mil   3228.764mil   6669.811mil   3211.047mil   6669.811mil  T        360.00 LED SMD 0402   
D23        LED_SMD_0402      3328.764mil   6709.811mil   3328.764mil   6709.811mil    3346.48mil   6709.811mil  T        180.00 LED SMD 0402   
D21        LED_SMD_0402      3013.047mil   7067.811mil   3013.047mil   7067.811mil   3013.047mil   7050.095mil  T         90.00 LED SMD 0402   
D20        LED_SMD_0402      3028.764mil   6669.811mil   3028.764mil   6669.811mil   3011.047mil   6669.811mil  T        360.00 LED SMD 0402   
D19        LED_SMD_0402      2928.764mil   6669.811mil   2928.764mil   6669.811mil   2911.047mil   6669.811mil  T        360.00 LED SMD 0402   
D18        LED_SMD_0402      3028.764mil   6709.811mil   3028.764mil   6709.811mil    3046.48mil   6709.811mil  T        180.00 LED SMD 0402   
D17        LED_SMD_0402      2828.764mil   6669.811mil   2828.764mil   6669.811mil   2811.047mil   6669.811mil  T        360.00 LED SMD 0402   
D16        LED_SMD_0402      2812.047mil   7068.811mil   2812.047mil   7068.811mil   2812.047mil   7051.095mil  T         90.00 LED SMD 0402   
D15        LED_SMD_0402      2928.764mil   6709.811mil   2928.764mil   6709.811mil    2946.48mil   6709.811mil  T        180.00 LED SMD 0402   
D13        LED_SMD_0402      2828.047mil   6706.811mil   2828.047mil   6706.811mil   2845.764mil   6706.811mil  T        180.00 LED SMD 0402   
D12        LED_SMD_0402      2613.047mil   7067.811mil   2613.047mil   7067.811mil   2613.047mil   7050.095mil  T         90.00 LED SMD 0402   
D10        LED_SMD_0402      2529.047mil   6671.811mil   2529.047mil   6671.811mil   2511.331mil   6671.811mil  T        360.00 LED SMD 0402   
D9         LED_SMD_0402      2413.047mil   7067.811mil   2413.047mil   7067.811mil   2413.047mil   7050.095mil  T         90.00 LED SMD 0402   
D8         LED_SMD_0402      2429.047mil   6671.811mil   2429.047mil   6671.811mil   2411.331mil   6671.811mil  T        360.00 LED SMD 0402   
D7         LED_SMD_0402      2529.047mil   6711.811mil   2529.047mil   6711.811mil   2546.764mil   6711.811mil  T        180.00 LED SMD 0402   
D6         LED_SMD_0402      2329.047mil   6676.811mil   2329.047mil   6676.811mil   2311.331mil   6676.811mil  T        360.00 LED SMD 0402   
D5         LED_SMD_0402      2429.047mil   6711.811mil   2429.047mil   6711.811mil   2446.764mil   6711.811mil  T        180.00 LED SMD 0402   
D4         LED_SMD_0402      2213.047mil   7067.811mil   2213.047mil   7067.811mil   2213.047mil   7050.095mil  T         90.00 LED SMD 0402   
D3         LED_SMD_0402      2229.047mil   6678.811mil   2229.047mil   6678.811mil   2211.331mil   6678.811mil  T        360.00 LED SMD 0402   
D2         LED_SMD_0402      2330.047mil   6714.811mil   2330.047mil   6714.811mil   2347.764mil   6714.811mil  T        180.00 LED SMD 0402   
D1         LED_SMD_0402      2225.047mil   6715.811mil   2225.047mil   6715.811mil   2242.764mil   6715.811mil  T        180.00 LED SMD 0402   
D11        LED_SMD_0402      2730.047mil   6704.811mil   2730.047mil   6704.811mil   2747.764mil   6704.811mil  T        180.00 LED SMD 0402   
D14        LED_SMD_0402      2729.047mil   6667.811mil   2729.047mil   6667.811mil   2711.331mil   6667.811mil  T        360.00 LED SMD 0402   
